File names,start,end,pattern
2024-03-01_09-25-06_207GHz_FMCW.dat,30.4,31,hover
2024-03-01_09-28-20_207GHz_FMCW.dat,29.3,29.8,rotate
2024-03-01_09-29-22_207GHz_FMCW.dat,28.8,29.25,rotate
2024-03-01_09-30-36_207GHz_FMCW.dat,31.2,31.7,hover
2024-03-01_09-30-56_207GHz_FMCW.dat,31.2,31.7,rotate
2024-03-01_09-31-27_207GHz_FMCW.dat,31.2,31.7,rotate
2024-03-01_09-31-46_207GHz_FMCW.dat,31.05,31.7,rotate
2024-03-01_09-32-43_207GHz_FMCW.dat,32.2,32.8,hover
2024-03-01_09-33-03_207GHz_FMCW.dat,32.2,32.8,hover
2024-03-01_09-33-31_207GHz_FMCW.dat,32,32.55,rotate
2024-03-01_09-33-50_207GHz_FMCW.dat,32,32.55,rotate
2024-03-01_09-39-17_207GHz_FMCW.dat,29,29.5,hover
2024-03-01_09-49-28_207GHz_FMCW.dat,29.6,30.1,hover
2024-03-01_09-49-45_207GHz_FMCW.dat,30.45,31,hover
2024-03-01_09-51-20_207GHz_FMCW.dat,30.6,31.05,hover
2024-03-01_09-51-37_207GHz_FMCW.dat,30.6,31.1,hover
2024-03-01_09-51-57_207GHz_FMCW.dat,30.6,31.1,rotate
2024-03-01_09-52-16_207GHz_FMCW.dat,30.6,31.1,rotate
2024-03-01_09-53-27_207GHz_FMCW.dat,31.6,32.1,hover
2024-03-01_09-53-50_207GHz_FMCW.dat,31.65,32.25,hover
2024-03-01_09-54-10_207GHz_FMCW.dat,31.6,32.1,rotate
2024-03-01_09-54-22_207GHz_FMCW.dat,31.6,32.1,rotate
2024-03-01_09-55-14_207GHz_FMCW.dat,33.3,33.75,hover
2024-03-01_09-55-30_207GHz_FMCW.dat,33.2,33.75,hover
2024-03-01_09-55-53_207GHz_FMCW.dat,33.3,33.8,rotate
2024-03-01_09-56-07_207GHz_FMCW.dat,33.45,33.9,rotate
2024-03-01_10-14-20_207GHz_FMCW.dat,28.4,29.4,hover
2024-03-01_10-14-35_207GHz_FMCW.dat,28.4,29.4,hover
2024-03-01_10-14-58_207GHz_FMCW.dat,28.4,29.4,rotate
2024-03-01_10-15-17_207GHz_FMCW.dat,28.4,29.4,rotate
2024-03-01_10-16-23_207GHz_FMCW.dat,29.3,30.25,hover
2024-03-01_10-16-37_207GHz_FMCW.dat,29.5,30.1,hover
2024-03-01_10-17-24_207GHz_FMCW.dat,29.3,30.2,rotate
2024-03-01_10-17-48_207GHz_FMCW.dat,29.3,30.2,rotate
2024-03-01_10-19-22_207GHz_FMCW.dat,34.4,35.2,hover
2024-03-01_10-19-39_207GHz_FMCW.dat,34.4,35.2,hover
2024-03-01_10-20-04_207GHz_FMCW.dat,34.3,35,rotate
2024-03-01_10-20-22_207GHz_FMCW.dat,34.3,35,rotate
2024-03-01_10-45-41_207GHz_FMCW.dat,47.9,49,hover
2024-03-01_10-46-36_207GHz_FMCW.dat,47.8,48.7,hover
2024-03-01_10-46-53_207GHz_FMCW.dat,47.5,48.5,rotate
2024-03-01_12-45-47_207GHz_FMCW.dat,44.4,46.2,hover
2024-03-01_12-45-57_207GHz_FMCW.dat,44.6,46,hover
2024-03-01_12-47-18_207GHz_FMCW.dat,43.5,46.3,hover
