File names,start,end
2024-03-01_11-37-02_24GHz_FMCW.dat,46.2,89.3
2024-03-01_11-37-44_24GHz_FMCW.dat,45,77.4
2024-03-01_11-37-59_24GHz_FMCW.dat,45,51
2024-03-01_11-39-39_24GHz_FMCW.dat,78,91
2024-03-01_11-39-55_24GHz_FMCW.dat,49.5,90
2024-03-01_11-40-11_24GHz_FMCW.dat,44,105.6
2024-03-01_11-40-23_24GHz_FMCW.dat,64.5,96.7
2024-03-01_11-40-36_24GHz_FMCW.dat,39.7,86
2024-03-01_11-41-01_24GHz_FMCW.dat,30.57,85.55
2024-03-01_11-41-13_24GHz_FMCW.dat,29.29,99.24
2024-03-01_11-41-58_24GHz_FMCW.dat,54.56,84.8
2024-03-01_11-42-17_24GHz_FMCW.dat,52.25,97.35
2024-03-01_11-42-28_24GHz_FMCW.dat,53.3,94.6
2024-03-01_11-43-04_24GHz_FMCW.dat,54,107
2024-03-01_11-43-15_24GHz_FMCW.dat,39,91
